State,City,Practice Area,Firm Name,Latitude,Longitude
North Carolina,Charlotte,Real Estate,Alexander Ricks PLLC,35.2083,-80.8303
North Carolina,Asheville,Corporate/Commercial,Allen Stahl + Kilbourne,35.5951,-82.5515
North Carolina,Charlotte,Litigation: General Commercial,"Allen, Chesson & Grimes PLLC",35.2083,-80.8303
North Carolina,Winston-Salem,Real Estate,"Allman Spry Leggett & Crumpler, P.A",36.0999,-80.2442
North Carolina,Charlotte,Media & Entertainment,Apollo Sports & Entertainment Law Group,35.2083,-80.8303
North Carolina,Charlotte,Immigration,"Aziz Law Firm, P.A.",35.2083,-80.8303
North Carolina,Raleigh,Medical Malpractice,"Batten McLamb Smith, PLLC",35.8324,-78.6429
North Carolina,Raleigh,Litigation: General Commercial,Blue LLP,35.8324,-78.6429
North Carolina,Greensboro,Corporate/Commercial,"Carruthers & Roth, P.A",36.0726,-79.792
North Carolina,Durham,Intellectual Property,Casimir Jones,35.994,-78.8986
North Carolina,Greensboro,Immigration,"Chapman & Roberts, P.A.",36.0726,-79.792
North Carolina,Raleigh,White-Collar Crime & Government Investigations,"Cheshire Parker Schneider, PLLC",35.8324,-78.6429
North Carolina,Charlotte,Immigration,Clawson & Staubes,35.2083,-80.8303
North Carolina,Charlotte,Litigation: General Commercial,Clawson & Staubes,35.2083,-80.8303
North Carolina,Raleigh,Intellectual Property,Coats + Bennett PLLC,35.8324,-78.6429
North Carolina,Charlotte,Trusts & Estates,Culp Elliott & Carpenter P.L.L.C.,35.2083,-80.8303
North Carolina,New Bern,Corporate/Commercial,Davis Hartman Wright Attorneys LLP,35.1085,-77.0441
North Carolina,Chapel Hill,Energy & Natural Resources,DCH Law LLP,35.9132,-79.0558
North Carolina,Raleigh,Immigration,Edgerton Immigration Law,35.8324,-78.6429
North Carolina,Charlotte,Litigation: General Commercial,Essex Richards,35.2083,-80.8303
North Carolina,Charlotte,White-Collar Crime & Government Investigations,Fialko Law,35.2083,-80.8303
North Carolina,Charlotte,White-Collar Crime & Government Investigations,"Flannery | Georgalis, LLC",35.2083,-80.8303
North Carolina,Raleigh,Corporate/Commercial,Fourscore Business Law,35.8324,-78.6429
North Carolina,Morehead City,Trusts & Estates,"Harvell and Collins, P.A.",34.7229,-76.7269
North Carolina,Raleigh,Real Estate,Howard Stallings Law Firm,35.8324,-78.6429
North Carolina,Chapel Hill,Litigation: General Commercial,J.C. White Law Group PLLC,35.9132,-79.0558
North Carolina,Charlotte,Construction,James deNobriga Long,35.2083,-80.8303
North Carolina,Raleigh,Intellectual Property,"Jenkins, Taylor & Hunt, P.A.",35.8324,-78.6429
North Carolina,Charlotte,Trusts & Estates,"Jesson & Raines, PLLC",35.2083,-80.8303
North Carolina,Raleigh,Intellectual Property,kdw firm pllc,35.8324,-78.6429
North Carolina,Winston-Salem,Litigation: General Commercial,King Latham Law PLLC,36.0999,-80.2442
North Carolina,Wilmington,Trusts & Estates,"Kohut, Adams & Randall, P.A.",34.2257,-77.9447
North Carolina,Charlotte,Immigration,Kushner & Kushner,35.2083,-80.8303
North Carolina,Charlotte,Litigation: General Commercial,Lincoln Derr PLLC,35.2083,-80.8303
North Carolina,Charlotte,Medical Malpractice,Lincoln Derr PLLC,35.2083,-80.8303
North Carolina,Raleigh,Real Estate,LittleWood Law PLLC,35.8324,-78.6429
North Carolina,Raleigh,Real Estate,Longleaf Law Partners,35.8324,-78.6429
North Carolina,Charlotte,Litigation: General Commercial,Lord & Lindley PLLC,35.2083,-80.8303
North Carolina,Asheville,Corporate/Commercial,"McGuire, Wood & Bissette, P.A.",35.5951,-82.5515
North Carolina,Charlotte,Corporate/Commercial,McMillian PLLC,35.2083,-80.8303
North Carolina,Raleigh,Litigation: General Commercial,Miller Monroe & Plyler,35.8324,-78.6429
North Carolina,Wilmington,Corporate/Commercial,"Murchison, Taylor & Gibson, PLLC",34.2257,-77.9447
North Carolina,Raleigh,Intellectual Property,"Murphy, Bilak & Homiller, PLLC",35.8324,-78.6429
North Carolina,Raleigh,Intellectual Property,"Myers Bigel, P.A.",35.8324,-78.6429
North Carolina,Raleigh,Corporate/Commercial,"Nicholls & Crampton, P.A.",35.8324,-78.6429
North Carolina,Raleigh,Intellectual Property,NK Patent Law,35.8324,-78.6429
North Carolina,Raleigh,Media & Entertainment,Odin Law and Media,35.8324,-78.6429
North Carolina,Durham,Intellectual Property,"Olive & Olive, P.A.",35.994,-78.8986
North Carolina,Chapel Hill,Litigation: General Commercial,"Parry Law, PLLC",35.9132,-79.0558
North Carolina,Fayetteville,Litigation: General Commercial,"Player McLean, L.L.P",35.0527,-78.8784
North Carolina,Asheville,Litigation: General Commercial,Roberts & Stevens,35.5951,-82.5515
North Carolina,Asheville,Litigation: General Commercial,"Searson, Jones, Gottschalk & Cash, PLLC",35.5951,-82.5515
North Carolina,Raleigh,Intellectual Property,Stanek Lemon,35.8324,-78.6429
North Carolina,Raleigh,Litigation: General Commercial,Stevens Martin Vaughn & Tadych PLLC,35.8324,-78.6429
North Carolina,New Bern,Trusts & Estates,"Sumrell Sugg, P.A.",35.1085,-77.0441
North Carolina,Asheville,Trusts & Estates,The Van Winkle Law Firm,35.5951,-82.5515
North Carolina,Charlotte,White-Collar Crime & Government Investigations,Tin Fulton Walker & Owen,35.2083,-80.8303
North Carolina,Charlotte,Corporate/Commercial,Venn Law Group,35.2083,-80.8303
North Carolina,Charlotte,Real Estate,Venn Law Group,35.2083,-80.8303
North Carolina,Durham,Trusts & Estates,"Walker Lambe, PLLC",35.994,-78.8986
North Carolina,Raleigh,Litigation: General Commercial,Wilson Ratledge,35.8324,-78.6429
North Carolina,Charlotte,White-Collar Crime & Government Investigations,"Wyatt & Blake, L.L.P.",35.2083,-80.8303
North Carolina,Fayetteville,Litigation: General Commercial,"Yarborough, Winters & Neville P.A.",35.0527,-78.8784
Texas,Paris,Antitrust,Antimonopoly Counsel,33.6609,-95.5555
Texas,Austin,Antitrust,Hilliard Shadowen LLP,30.3005,-97.7522
Texas,Austin,Antitrust,McCarty Law PLLC,30.3005,-97.7522
Texas,Dallas,Bankruptcy/Restructuring,Neligan LLP,32.7935,-96.7667
Texas,Dallas,Bankruptcy/Restructuring,"Ross, Smith & Binford, PC",32.7935,-96.7667
Texas,Fort Worth,Construction,"Bonds Ellis Eppich Schafer Jones, LLP",32.7817,-97.3474
Texas,Dallas,Construction,Gravely Attorneys & Counselors,32.7935,-96.7667
Texas,Belton,Construction,Sanderford & Carroll,31.056,-97.4645
